condition,replicate,generation,shannon_diversity,richness,dominant_fraction,top3_fraction,vacancies
KtW_ON,0,231,1.991439206639129,8,0.17,0.4763265306122449,620
KtW_ON,0,232,1.9925705391405941,8,0.16979591836734695,0.4726530612244898,631
KtW_ON,0,233,1.990957605599051,8,0.16857142857142857,0.4775510204081633,602
KtW_ON,0,234,1.989031526225396,8,0.16857142857142857,0.4779591836734694,601
KtW_ON,0,235,1.99086306258387,8,0.16775510204081634,0.47591836734693876,602
KtW_ON,0,236,1.9889628762495264,8,0.16959183673469388,0.47775510204081634,590
KtW_ON,0,237,1.9894571646469132,8,0.17122448979591837,0.4773469387755102,588
KtW_ON,0,238,1.989654247439113,8,0.16551020408163264,0.4736734693877551,608
KtW_ON,0,239,1.9891396756260753,8,0.16673469387755102,0.47612244897959183,587
KtW_ON,0,240,1.988159708935306,8,0.1663265306122449,0.47244897959183674,601
KtW_ON,0,241,1.9876224014053114,8,0.16612244897959183,0.4753061224489796,586
KtW_ON,0,242,1.9872444897544561,8,0.16673469387755102,0.47612244897959183,596
KtW_ON,0,243,1.9874522507672563,8,0.16714285714285715,0.4753061224489796,599
KtW_ON,0,244,1.987803194983429,8,0.16551020408163264,0.47122448979591836,613
KtW_ON,0,245,1.9860928458123015,8,0.1610204081632653,0.47,625
KtW_ON,0,246,1.985659537399515,8,0.16163265306122448,0.4689795918367347,625
KtW_ON,0,247,1.9870110026682781,8,0.16040816326530613,0.46877551020408165,626
KtW_ON,0,248,1.9861673543320832,8,0.15959183673469388,0.4673469387755102,640
KtW_ON,0,249,1.982444200030461,8,0.15959183673469388,0.47244897959183674,614
KtW_ON,0,250,1.982498957937167,8,0.15836734693877552,0.47020408163265304,613
KtW_ON,0,251,1.9847717436300973,8,0.15897959183673468,0.47061224489795916,608
KtW_ON,0,252,1.9843029691970338,8,0.15877551020408162,0.47081632653061223,598
KtW_ON,0,253,1.983683639530638,8,0.1579591836734694,0.47285714285714286,584
KtW_ON,0,254,1.982284255376835,8,0.15959183673469388,0.4746938775510204,576
KtW_ON,0,255,1.9803186441894092,8,0.16,0.47816326530612246,578
KtW_ON,0,256,1.983210470046874,8,0.16142857142857142,0.4773469387755102,559
KtW_ON,0,257,1.98199577862869,8,0.16122448979591836,0.4736734693877551,558
KtW_ON,0,258,1.9840266818667696,8,0.1626530612244898,0.47306122448979593,559
KtW_ON,0,259,1.9821283966951448,8,0.16285714285714287,0.4716326530612245,583
KtW_ON,0,260,1.980799198840723,8,0.16326530612244897,0.476734693877551,558
KtW_ON,0,261,1.9802888380322863,8,0.16387755102040816,0.47816326530612246,547
KtW_ON,0,262,1.984131051583332,8,0.16244897959183674,0.47816326530612246,536
KtW_ON,0,263,1.9826131204712176,8,0.16306122448979593,0.4785714285714286,527
KtW_ON,0,264,1.9828504236050972,8,0.16224489795918368,0.47836734693877553,525
KtW_ON,0,265,1.9826535632223479,8,0.16346938775510203,0.47816326530612246,547
KtW_ON,0,266,1.9786998357920007,8,0.1646938775510204,0.4775510204081633,563
KtW_ON,0,267,1.9776205039021617,8,0.16612244897959183,0.47959183673469385,548
KtW_ON,0,268,1.9778503384492097,8,0.16591836734693877,0.4791836734693877,544
KtW_ON,0,269,1.9810389805077013,8,0.16959183673469388,0.48387755102040814,524
KtW_ON,0,270,1.9801233141995902,8,0.17020408163265305,0.48551020408163265,511
KtW_ON,0,271,1.9802275281924295,8,0.16959183673469388,0.48673469387755103,512
KtW_ON,0,272,1.9803947990481159,8,0.16795918367346938,0.4863265306122449,496
KtW_ON,0,273,1.9814693480809007,8,0.16775510204081634,0.48081632653061224,530
